id,device_id,ts,voltage,humidity,temperature,latitude,longitude
121,device2,2025-11-11 17:50:29.168841+05:30,0.49,35.08,30.84,0,0
122,device1,2025-11-11 17:50:36.27661+05:30,0.31,40.74,27.26,0,0
123,device2,2025-11-11 17:50:44.088804+05:30,0.49,35.05,30.84,0,0
124,device1,2025-11-11 17:50:50.98035+05:30,0.33,40.93,27.26,0,0
125,device2,2025-11-11 17:50:59.579052+05:30,0.49,35.05,30.83,0,0
126,device1,2025-11-11 17:51:06.236433+05:30,0.31,40.84,27.27,0,0
127,device2,2025-11-11 17:51:14.578662+05:30,0.49,35.05,30.82,0,0
128,device1,2025-11-11 17:51:21.03026+05:30,0.33,40.79,27.28,0,0
129,device2,2025-11-11 17:51:29.335219+05:30,0.49,35.04,30.81,0,0
130,device1,2025-11-11 17:51:35.984471+05:30,0.34,40.71,27.26,0,0
131,device2,2025-11-11 17:51:44.430668+05:30,0.49,35.00,30.80,0,0
132,device1,2025-11-11 17:51:50.904526+05:30,0.32,40.68,27.24,0,0
133,device2,2025-11-11 17:51:59.275189+05:30,0.49,35.01,30.79,0,0
134,device1,2025-11-11 17:52:06.038444+05:30,0.32,40.73,27.22,0,0
135,device2,2025-11-11 17:52:14.228795+05:30,0.49,35.08,30.78,0,0
136,device1,2025-11-11 17:52:20.957499+05:30,0.33,40.81,27.22,0,0
137,device2,2025-11-11 17:52:29.272101+05:30,0.49,35.06,30.77,0,0
138,device1,2025-11-11 17:52:36.442494+05:30,0.32,40.90,27.23,0,0
139,device2,2025-11-11 17:52:44.590864+05:30,0.49,35.09,30.77,0,0
140,device1,2025-11-11 17:52:50.913487+05:30,0.30,40.74,27.24,0,0
141,device2,2025-11-11 17:52:59.273588+05:30,0.49,35.09,30.77,0,0
142,device1,2025-11-11 17:53:06.341849+05:30,0.30,40.74,27.28,0,0
143,device2,2025-11-11 17:53:14.539229+05:30,0.49,35.04,30.78,0,0
144,device1,2025-11-11 17:53:20.896309+05:30,0.33,40.45,27.34,0,0
145,device2,2025-11-11 17:53:29.495016+05:30,0.49,34.94,30.77,0,0
146,device1,2025-11-11 17:53:36.137319+05:30,0.33,40.42,27.35,0,0
147,device2,2025-11-11 17:53:44.801088+05:30,0.49,34.98,30.76,0,0
148,device1,2025-11-11 17:53:51.147803+05:30,0.33,40.45,27.33,0,0
149,device2,2025-11-11 17:53:59.392703+05:30,0.49,35.00,30.74,0,0
150,device1,2025-11-11 17:54:06.120216+05:30,0.33,40.54,27.29,0,0
151,device2,2025-11-11 17:54:14.811901+05:30,0.49,34.97,30.73,0,0
152,device1,2025-11-11 17:54:20.947209+05:30,0.33,40.58,27.28,0,0
153,device2,2025-11-11 17:54:29.665231+05:30,0.49,35.09,30.71,0,0
154,device1,2025-11-11 17:54:35.824111+05:30,0.32,40.67,27.30,0,0
155,device2,2025-11-11 17:54:44.739401+05:30,0.49,35.14,30.70,0,0
156,device1,2025-11-11 17:54:50.950049+05:30,0.32,40.64,27.28,0,0
157,device2,2025-11-11 17:54:59.652612+05:30,0.49,35.18,30.69,0,0
158,device1,2025-11-11 17:55:06.248465+05:30,0.33,40.76,27.25,0,0
159,device2,2025-11-11 17:55:14.649002+05:30,0.49,35.11,30.68,0,0
160,device1,2025-11-11 17:55:21.079194+05:30,0.32,40.88,27.20,0,0
161,device2,2025-11-11 17:55:29.391795+05:30,0.49,35.13,30.66,0,0
162,device1,2025-11-11 17:55:35.948114+05:30,0.33,40.95,27.15,0,0
163,device2,2025-11-11 17:55:44.541937+05:30,0.49,35.18,30.63,0,0
164,device1,2025-11-11 17:55:51.52802+05:30,0.34,40.94,27.12,0,0
165,device2,2025-11-11 17:55:59.595266+05:30,0.49,35.10,30.60,0,0
166,device1,2025-11-11 17:56:08.303982+05:30,0.32,40.96,27.12,0,0
167,device2,2025-11-11 17:56:14.657397+05:30,0.49,35.19,30.59,0,0
168,device1,2025-11-11 17:56:20.917289+05:30,0.32,40.85,27.15,0,0
169,device2,2025-11-11 17:56:29.877481+05:30,0.49,35.17,30.59,0,0
170,device1,2025-11-11 17:56:35.975383+05:30,0.33,40.65,27.16,0,0
171,device2,2025-11-11 17:56:44.551809+05:30,0.49,35.13,30.56,0,0
172,device1,2025-11-11 17:56:50.901428+05:30,0.32,40.84,27.14,0,0
173,device2,2025-11-11 17:57:00.521054+05:30,0.49,35.30,30.55,0,0
174,device1,2025-11-11 17:57:07.183983+05:30,0.32,40.90,27.13,0,0
175,device2,2025-11-11 17:57:14.584118+05:30,0.49,35.30,30.54,0,0
176,device1,2025-11-11 17:57:21.280105+05:30,0.32,40.88,27.13,0,0
177,device2,2025-11-11 17:57:29.655888+05:30,0.49,35.21,30.53,0,0
178,device1,2025-11-11 17:57:35.959681+05:30,0.33,40.90,27.10,0,0
179,device2,2025-11-11 17:57:44.867462+05:30,0.49,35.31,30.51,0,0
180,device1,2025-11-11 17:57:51.188998+05:30,0.32,40.91,27.11,0,0
181,device2,2025-11-11 17:58:00.010125+05:30,0.49,35.25,30.49,0,0
182,device1,2025-11-11 17:58:06.14459+05:30,0.31,40.89,27.06,0,0
183,device2,2025-11-11 17:58:14.559817+05:30,0.49,35.25,30.49,0,0
184,device1,2025-11-11 17:58:21.598108+05:30,0.33,40.90,27.05,0,0
185,device2,2025-11-11 17:58:29.680333+05:30,0.49,35.22,30.48,0,0
186,device1,2025-11-11 17:58:35.856981+05:30,0.30,40.88,27.02,0,0
187,device2,2025-11-11 17:58:44.613817+05:30,0.49,35.21,30.46,0,0
188,device1,2025-11-11 17:58:50.863574+05:30,0.33,40.93,27.00,0,0
189,device2,2025-11-11 17:59:14.057382+05:30,0.49,35.26,30.45,0,0
190,device2,2025-11-11 17:59:23.693179+05:30,0.49,35.26,30.44,0,0
191,device1,2025-11-11 17:59:23.728842+05:30,0.31,40.90,27.02,0,0
192,device1,2025-11-11 17:59:38.894686+05:30,0.33,40.80,27.02,0,0
193,device2,2025-11-11 18:00:22.131836+05:30,0.49,35.24,30.43,0,0
194,device2,2025-11-11 18:00:22.134523+05:30,0.49,35.26,30.41,0,0
195,device2,2025-11-11 18:01:06.247892+05:30,0.49,35.26,30.41,0,0
